52 Dundas Local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://platform.remix.com/map/81daf133/line/d9321ce9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weekdays,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbound,,,,,,,,,,,,,,,,,,,,Outbound,,,,,,,,,,,,,,,,,,,
,ORCHARD at PLEASANT,TURNBULL opposite KINGS GATE,TURNBULL opposite AUTUMN LEAF,TURNBULL at TERRACE,OLD ANCASTER opposite PLEASANT,OLD ANCASTER at DUNDANA,OGILVIE at OLD ANCASTER,OGILVIE at GOVERNORS,GOVERNOR'S at MAIN,YORK at COOTES,YORK at HUNTER,YORK at DONALD,YORK at CAMERON,YORK opposite MCKAY,YORK opposite WATSONS,YORK opposite FIELDGATE,YORK at OLYMPIC,WATSONS LANE LOOP,,,WATSONS LANE LOOP,YORK at OLYMPIC,YORK at FIELDGATE,YORK at WATSONS,YORK at MCKAY,YORK at CAMERON,YORK opposite CAIRNS,YORK at WILLETT,YORK at KING,GOVERNOR'S at MAIN,OGILVIE at GOVERNORS,OGILVIE at OLD ANCASTER,OLD ANCASTER at PIMLICO,OLD ANCASTER at PLEASANT,PLEASANT at SUNRISE,PLEASANT opposite  AUTUMN LEAF,PLEASANT at EDENBRIDGE,PLEASANT at GREEN MEADOW,ORCHARD at PLEASANT
A,6:45,6:46,6:46,6:47,6:49,6:50,6:50,6:51,6:51,6:52,6:53,6:54,6:54,6:56,6:56,6:57,6:58,6:58,,A,7:01,7:01,7:02,7:03,7:03,7:04,7:05,7:06,7:07,7:08,7:08,7:09,7:09,7:10,7:11,7:12,7:12,7:13,7:14
A,7:15,7:16,7:16,7:17,7:19,7:20,7:20,7:21,7:21,7:22,7:23,7:24,7:24,7:26,7:26,7:27,7:28,7:28,,A,7:31,7:31,7:32,7:33,7:33,7:34,7:35,7:36,7:37,7:38,7:38,7:39,7:39,7:40,7:41,7:42,7:42,7:43,7:44
A,7:45,7:46,7:46,7:47,7:49,7:50,7:50,7:51,7:51,7:52,7:53,7:54,7:54,7:56,7:56,7:57,7:58,7:58,,A,8:01,8:01,8:02,8:03,8:03,8:04,8:05,8:06,8:07,8:08,8:08,8:09,8:09,8:10,8:11,8:12,8:12,8:13,8:14
A,8:15,8:16,8:16,8:17,8:19,8:20,8:20,8:21,8:21,8:22,8:23,8:24,8:24,8:26,8:26,8:27,8:28,8:28,,A,8:31,8:31,8:32,8:33,8:33,8:34,8:35,8:36,8:37,8:38,8:38,8:39,8:39,8:40,8:41,8:42,8:42,8:43,8:44
A,8:45,8:46,8:46,8:47,8:49,8:50,8:50,8:51,8:51,8:52,8:53,8:54,8:54,8:56,8:56,8:57,8:58,8:58,,A,9:01,9:01,9:02,9:03,9:03,9:04,9:05,9:06,9:07,9:08,9:08,9:09,9:09,9:10,9:11,9:12,9:12,9:13,9:14
A,15:33,15:34,15:34,15:35,15:37,15:38,15:38,15:39,15:39,15:41,15:41,15:42,15:42,15:44,15:44,15:45,15:45,15:46,,A,15:46,15:46,15:47,15:48,15:49,15:50,15:51,15:52,15:52,15:53,15:54,15:55,15:55,15:56,15:57,15:58,15:58,15:59,16:00
A,16:01,16:02,16:02,16:03,16:05,16:06,16:06,16:07,16:07,16:09,16:09,16:10,16:10,16:12,16:12,16:13,16:13,16:14,,A,16:16,16:16,16:17,16:18,16:19,16:20,16:21,16:22,16:22,16:23,16:24,16:25,16:25,16:26,16:27,16:28,16:28,16:29,16:30
A,16:31,16:32,16:32,16:33,16:35,16:36,16:36,16:37,16:37,16:39,16:39,16:40,16:40,16:42,16:42,16:43,16:43,16:44,,A,16:46,16:46,16:47,16:48,16:49,16:50,16:51,16:52,16:52,16:53,16:54,16:55,16:55,16:56,16:57,16:58,16:58,16:59,17:00
A,17:01,17:02,17:02,17:03,17:05,17:06,17:06,17:07,17:07,17:09,17:09,17:10,17:10,17:12,17:12,17:13,17:13,17:14,,A,17:16,17:16,17:17,17:18,17:19,17:20,17:21,17:22,17:22,17:23,17:24,17:25,17:25,17:26,17:27,17:28,17:28,17:29,17:30
A,17:31,17:32,17:32,17:33,17:35,17:36,17:36,17:37,17:37,17:39,17:39,17:40,17:40,17:42,17:42,17:43,17:43,17:44,,A,17:46,17:46,17:47,17:48,17:49,17:50,17:51,17:52,17:52,17:53,17:54,17:55,17:55,17:56,17:57,17:58,17:58,17:59,18:00
A,18:01,18:02,18:02,18:03,18:05,18:06,18:06,18:07,18:07,18:09,18:09,18:10,18:10,18:12,18:12,18:13,18:13,18:14,,A,18:16,18:16,18:17,18:18,18:19,18:20,18:21,18:22,18:22,18:23,18:24,18:25,18:25,18:26,18:27,18:28,18:28,18:29,18:30
A,18:31,18:32,18:32,18:33,18:35,18:36,18:36,18:37,18:37,18:39,18:39,18:40,18:40,18:42,18:42,18:43,18:43,18:44,,B,18:47,18:47,18:48,18:49,18:49,18:50,18:51,18:52,18:52,18:53,18:54,,,,,,,,
